Sample_ID,Plant_ID,Line,Tissue,Temp,Treatment,Group
S1,48,F1,An,25,C,An_F1_C
S2,48,F1,Bu,25,C,Bu_F1_C
S4,48,F1,Le,25,C,Le_F1_C
S3,48,F1,Ov,25,C,Ov_F1_C
S5,53,F1,An,25,C,An_F1_C
S6,53,F1,Bu,25,C,Bu_F1_C
S8,53,F1,Le,25,C,Le_F1_C
S7,53,F1,Ov,25,C,Ov_F1_C
S9,55,F1,An,25,C,An_F1_C
S10,55,F1,Bu,25,C,Bu_F1_C
S12,55,F1,Le,25,C,Le_F1_C
S11,55,F1,Ov,25,C,Ov_F1_C
S13,60,F1,An,25,C,An_F1_C
S14,60,F1,Bu,25,C,Bu_F1_C
S16,60,F1,Le,25,C,Le_F1_C
S15,60,F1,Ov,25,C,Ov_F1_C
S17,54,F1,An,37,H,An_F1_H
S18,54,F1,Bu,37,H,Bu_F1_H
S20,54,F1,Le,37,H,Le_F1_H
S19,54,F1,Ov,37,H,Ov_F1_H
S21,59,F1,An,37,H,An_F1_H
S22,59,F1,Bu,37,H,Bu_F1_H
S24,59,F1,Le,37,H,Le_F1_H
S23,59,F1,Ov,37,H,Ov_F1_H
S25,63,F1,An,37,H,An_F1_H
S26,63,F1,Bu,37,H,Bu_F1_H
S28,63,F1,Le,37,H,Le_F1_H
S27,63,F1,Ov,37,H,Ov_F1_H
S29,65,F1,An,37,H,An_F1_H
S30,65,F1,Bu,37,H,Bu_F1_H
S32,65,F1,Le,37,H,Le_F1_H
S31,65,F1,Ov,37,H,Ov_F1_H
