Ortholog Group	Gene Name	Organism Name	Ortholog Gene Name	Ortholog Organism Name	Relationship
447_948_12288	Migut.13G109200	Mguttatus_var_IM62_v4.1	AT1G11112	Athaliana_Araport11	one-to-one
447_948_1452	Migut.13G109400	Mguttatus_var_IM62_v4.1	AT1G61140	Athaliana_Araport11	one-to-many
447_948_1452	Migut.13G109400	Mguttatus_var_IM62_v4.1	AT1G11100	Athaliana_Araport11	one-to-many
447_948_6987	Migut.13G110600	Mguttatus_var_IM62_v4.1	AT1G61050	Athaliana_Araport11	many-to-one
447_948_3164	Migut.13G110700	Mguttatus_var_IM62_v4.1	AT1G61040	Athaliana_Araport11	one-to-one
447_948_6085	Migut.13G111100	Mguttatus_var_IM62_v4.1	AT2G44040	Athaliana_Araport11	many-to-many
447_948_6085	Migut.13G111100	Mguttatus_var_IM62_v4.1	AT3G59890	Athaliana_Araport11	many-to-many
447_948_962	Migut.13G111300	Mguttatus_var_IM62_v4.1	AT4G21670	Athaliana_Araport11	many-to-one
447_948_6028	Migut.13G109500	Mguttatus_var_IM62_v4.1	AT1G11090	Athaliana_Araport11	one-to-one
447_948_3099	Migut.13G109600	Mguttatus_var_IM62_v4.1	AT1G11080	Athaliana_Araport11	one-to-many
447_948_3099	Migut.13G109600	Mguttatus_var_IM62_v4.1	AT4G15100	Athaliana_Araport11	one-to-many
447_948_2896	Migut.13G000100	Mguttatus_var_IM62_v4.1	AT5G08450	Athaliana_Araport11	one-to-one
447_948_3331	Migut.13G000200	Mguttatus_var_IM62_v4.1	AT5G08440	Athaliana_Araport11	one-to-many
447_948_3331	Migut.13G000200	Mguttatus_var_IM62_v4.1	AT5G23490	Athaliana_Araport11	one-to-many
447_948_1198	Migut.13G000300	Mguttatus_var_IM62_v4.1	AT3G18480	Athaliana_Araport11	one-to-one
447_948_6119	Migut.13G000400	Mguttatus_var_IM62_v4.1	AT5G63220	Athaliana_Araport11	one-to-one
447_948_1196	Migut.13G000500	Mguttatus_var_IM62_v4.1	AT5G35700	Athaliana_Araport11	one-to-many
447_948_1196	Migut.13G000500	Mguttatus_var_IM62_v4.1	AT2G04750	Athaliana_Araport11	one-to-many
447_948_2267	Migut.13G000600	Mguttatus_var_IM62_v4.1	AT2G04740	Athaliana_Araport11	one-to-one
447_948_3463	Migut.13G000800	Mguttatus_var_IM62_v4.1	AT3G07890	Athaliana_Araport11	many-to-one
447_948_6682	Migut.13G000900	Mguttatus_var_IM62_v4.1	AT3G17611	Athaliana_Araport11	one-to-one
447_948_10995	Migut.13G001000	Mguttatus_var_IM62_v4.1	AT2G04790	Athaliana_Araport11	one-to-one
447_948_12132	Migut.13G001100	Mguttatus_var_IM62_v4.1	AT2G04795	Athaliana_Araport11	one-to-many
447_948_12132	Migut.13G001100	Mguttatus_var_IM62_v4.1	AT5G35732	Athaliana_Araport11	one-to-many
447_948_6710	Migut.13G001200	Mguttatus_var_IM62_v4.1	AT3G07830	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001200	Mguttatus_var_IM62_v4.1	AT3G07840	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001200	Mguttatus_var_IM62_v4.1	AT3G07820	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001200	Mguttatus_var_IM62_v4.1	AT5G48140	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001300	Mguttatus_var_IM62_v4.1	AT3G07830	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001300	Mguttatus_var_IM62_v4.1	AT3G07840	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001300	Mguttatus_var_IM62_v4.1	AT3G07820	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001300	Mguttatus_var_IM62_v4.1	AT5G48140	Athaliana_Araport11	many-to-many
