CHR,START,STOP,GENE
Chr_01,18808,21531,Migut.01G000100.v3.1
Chr_01,33302,46488,Migut.01G000200.v3.1
Chr_01,63354,71185,Migut.01G000300.v3.1
Chr_01,71332,78249,Migut.01G000400.v3.1
Chr_01,79115,83209,Migut.01G000500.v3.1
Chr_01,84115,85213,Migut.01G000600.v3.1
Chr_01,85308,88199,Migut.01G000700.v3.1
Chr_01,88805,103339,Migut.01G000800.v3.1
Chr_01,104446,107631,Migut.01G000900.v3.1
Chr_01,107346,108516,Migut.01G001000.v3.1
Chr_01,109103,115571,Migut.01G001100.v3.1
Chr_01,115795,117988,Migut.01G001200.v3.1
Chr_01,118292,120344,Migut.01G001300.v3.1
Chr_01,121444,124015,Migut.01G001400.v3.1
Chr_01,127432,128097,Migut.01G001500.v3.1
Chr_01,131636,135122,Migut.01G001600.v3.1
Chr_01,135375,138756,Migut.01G001700.v3.1
Chr_01,139141,141004,Migut.01G001800.v3.1
Chr_01,141222,143609,Migut.01G001900.v3.1
Chr_01,143955,148549,Migut.01G002000.v3.1
Chr_01,149498,152353,Migut.01G002100.v3.1
Chr_01,152382,155440,Migut.01G002200.v3.1
Chr_01,155602,159165,Migut.01G002300.v3.1
Chr_01,159352,161278,Migut.01G002400.v3.1
Chr_01,161463,164632,Migut.01G002500.v3.1
Chr_01,164879,168076,Migut.01G002600.v3.1
Chr_01,168227,171069,Migut.01G002700.v3.1
Chr_01,171617,174984,Migut.01G002800.v3.1
Chr_01,174979,177605,Migut.01G002900.v3.1
Chr_01,177990,186286,Migut.01G003000.v3.1
Chr_01,187648,190550,Migut.01G003100.v3.1
Chr_01,190830,191897,Migut.01G003200.v3.1
Chr_01,194516,200836,Migut.01G003300.v3.1
Chr_01,200969,204618,Migut.01G003400.v3.1
Chr_01,204619,207829,Migut.01G003500.v3.1
Chr_01,209068,210020,Migut.01G003600.v3.1
Chr_01,210732,212980,Migut.01G003700.v3.1
Chr_01,214097,217013,Migut.01G003800.v3.1
Chr_01,217236,221602,Migut.01G003900.v3.1
Chr_01,221297,224130,Migut.01G004000.v3.1
Chr_01,224556,225997,Migut.01G004100.v3.1
Chr_01,227355,229337,Migut.01G004200.v3.1
Chr_01,231168,233703,Migut.01G004300.v3.1
Chr_01,233002,236831,Migut.01G004400.v3.1
Chr_01,237217,239743,Migut.01G004500.v3.1
Chr_01,240382,243962,Migut.01G004600.v3.1
Chr_01,244058,248380,Migut.01G004700.v3.1
Chr_01,249891,252080,Migut.01G004800.v3.1
Chr_01,252689,253843,Migut.01G004900.v3.1
Chr_01,253924,259343,Migut.01G005000.v3.1
Chr_01,260001,263738,Migut.01G005100.v3.1
Chr_01,265806,267479,Migut.01G005200.v3.1
Chr_01,268498,269442,Migut.01G005300.v3.1
Chr_01,270851,273410,Migut.01G005400.v3.1
Chr_01,273453,274654,Migut.01G005500.v3.1
Chr_01,275742,277453,Migut.01G005600.v3.1
Chr_01,277719,279057,Migut.01G005700.v3.1
Chr_01,279628,283035,Migut.01G005800.v3.1
Chr_01,285436,286709,Migut.01G005900.v3.1
Chr_01,287369,287812,Migut.01G006000.v3.1
Chr_01,291121,293176,Migut.01G006100.v3.1
Chr_01,295617,297329,Migut.01G006200.v3.1
Chr_01,298020,303527,Migut.01G006300.v3.1
Chr_01,304221,307990,Migut.01G006400.v3.1
Chr_01,308589,311015,Migut.01G006500.v3.1
Chr_01,314182,316376,Migut.01G006600.v3.1
Chr_01,316079,332752,Migut.01G006700.v3.1
Chr_01,333757,336700,Migut.01G006800.v3.1
Chr_01,336705,338267,Migut.01G006900.v3.1
Chr_01,342286,344074,Migut.01G007000.v3.1
Chr_01,351000,352615,Migut.01G007100.v3.1
Chr_01,352711,359488,Migut.01G007200.v3.1
Chr_01,360679,370691,Migut.01G007300.v3.1
Chr_01,371272,372982,Migut.01G007400.v3.1
