IM62v4,IM767v2,category,stratum,Athal,defline
x,MgIM767.11G000100,IM767+,out,AT4G20310,(1 of 1) K07765 - S2P endopeptidase (MBTPS2)
Migut.11G000100,x,IM62+,out,AT3G22670,(1 of 11) PTHR47942:SF63 - ATPASE EXPRESSION PROTEIN 3
Migut.11G000200,x,IM62+,out,AT5G18230,"(1 of 1) K12580 - CCR4-NOT transcription complex subunit 3 (CNOT3, NOT3)"
Migut.11G000300,x,IM62+,out,,
Migut.11G000400,MgIM767.11G000200,1:1,out,AT5G18230,"(1 of 1) K12580 - CCR4-NOT transcription complex subunit 3 (CNOT3, NOT3)"
Migut.11G000500,MgIM767.11G000300,1:1,out,AT1G43190,"(1 of 1) PTHR15592:SF18 - SMOOTH, ISOFORM T"
Migut.11G000600,MgIM767.11G000400,1:1,out,AT1G64760,"(1 of 2) PTHR32227:SF95 - GLUCAN ENDO-1,3-BETA-GLUCOSIDASE 8-RELATED"
Migut.11G000700,MgIM767.11G000500,1:1,out,AT3G03940,(1 of 1) PTHR11909:SF353 - PROTEIN KINASE FAMILY PROTEIN
Migut.11G000800,MgIM767.11G000600,1:1,out,AT5G18140,(1 of 1) PTHR43096:SF58 - CHAPERONE DNAJ-DOMAIN SUPERFAMILY PROTEIN
Migut.11G000900,MgIM767.11G000700,1:1,out,AT3G03900,"(1 of 1) PTHR11055:SF1 - PAPS SYNTHETASE, ISOFORM D"
Migut.11G001000,MgIM767.11G000800,1:1,out,AT3G03890,(1 of 1) PTHR13343:SF24 - OS07G0573800 PROTEIN
Migut.11G001100,MgIM767.11G000900,1:1,out,AT3G13520,(1 of 1) PTHR34114:SF10 - ARABINOGALACTAN PROTEIN 12
Migut.11G001200,MgIM767.11G001000,1:1,out,,
Migut.11G001300,MgIM767.11G001100,1:1,out,AT5G19780,(1 of 2) PTHR11588:SF494 - TUBULIN ALPHA-5 CHAIN
Migut.11G001400,MgIM767.11G001200,1:1,out,AT3G11940,"(1 of 2) K02989 - small subunit ribosomal protein S5e (RP-S5e, RPS5)"
Migut.11G001500,MgIM767.11G001300,1:1,out,AT3G11964,"(1 of 1) K14792 - rRNA biogenesis protein RRP5 (RRP5, PDCD11)"
Migut.11G001600,MgIM767.11G001400,1:1,out,AT3G03980,(1 of 1) PTHR48107:SF7 - RE15974P
Migut.11G001700,MgIM767.11G001500,1:1,out,AT5G06620,(1 of 1) PTHR12197:SF251 - EG:BACR7C10.4 PROTEIN
Migut.11G001800,MgIM767.11G001600,1:1,out,AT1G65450,(1 of 1) 2.3.1.188//2.3.1.99 - omega-hydroxypalmitate O-feruloyl transferase. / O-hydroxycinnamoyltransferase. // quinate O-hydroxycinnamoyltransferase. / hydroxycinnamoyl coenzyme A-quinate transferase.
Migut.11G001900,MgIM767.11G001700,1:1,out,AT2G42520,(1 of 1) PTHR47958:SF181 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 37
Migut.11G002000,MgIM767.11G001800,1:1,out,AT3G11980,(1 of 1) PTHR11011:SF45 - FATTY ACYL-COA REDUCTASE
Migut.11G002100,MgIM767.11G001900,1:1,out,AT1G65450,(1 of 1) 2.3.1.188//2.3.1.99 - omega-hydroxypalmitate O-feruloyl transferase. / O-hydroxycinnamoyltransferase. // quinate O-hydroxycinnamoyltransferase. / hydroxycinnamoyl coenzyme A-quinate transferase.
Migut.11G002200,MgIM767.11G002000,1:1,out,AT3G58520,(1 of 15) PF11955 - Plant organelle RNA recognition domain (PORR)
Migut.11G002300,x,IM62+,out,,
Migut.11G002400,MgIM767.11G002100,1:1,out,AT3G58070,(1 of 1) PTHR46547:SF22 - ZINC FINGER PROTEIN GIS
Migut.11G002500,MgIM767.11G002200,1:1,out,AT1G65870,(1 of 2) PTHR21495:SF249 - DIRIGENT PROTEIN 17-RELATED
Migut.11G002600,MgIM767.11G002300,1:1,out,AT1G09690,"(1 of 4) K02889 - large subunit ribosomal protein L21e (RP-L21e, RPL21)"
Migut.11G002700,MgIM767.11G002400,1:1,out,AT4G29283,(1 of 6) PTHR33830:SF38 - DEFENSIN-LIKE PROTEIN 155-RELATED
Migut.11G002800,MgIM767.11G002500,1:1,out,AT3G58560,(1 of 1) PTHR12121:SF34 - LD39302P
Migut.11G002900,MgIM767.11G002600,1:1,out,AT3G58530,(1 of 1) PTHR13318:SF95 - F-BOX DOMAIN-CONTAINING PROTEIN
Migut.11G003000,MgIM767.11G002700,1:1,out,AT2G41970,(1 of 1) PTHR47983:SF16 - OS02G0565500 PROTEIN
Migut.11G003100,MgIM767.11G002800,1:1,out,AT4G29290,(1 of 3) PTHR33830:SF23 - DEFENSIN-LIKE PROTEIN 159-RELATED
Migut.11G003200,MgIM767.11G002900,1:1,out,AT3G58030,(1 of 1) PTHR12313:SF71 - RING-TYPE E3 UBIQUITIN TRANSFERASE
Migut.11G003300,MgIM767.11G003000,1:1,out,AT5G06720,(1 of 1) PTHR31388:SF139 - PEROXIDASE 53
Migut.11G003400,MgIM767.11G003100,1:1,out,AT5G39160,(1 of 3) PTHR31238:SF331 - GERMIN-LIKE PROTEIN SUBFAMILY 1 MEMBER 16-RELATED
Migut.11G003500,MgIM767.11G003200,1:1,out,AT5G06750,(1 of 1) PTHR47992:SF97 - PROTEIN PHOSPHATASE 2C 68-RELATED
Migut.11G003600,MgIM767.11G003300,1:1,out,AT2G37620,(1 of 2) PTHR11937:SF575 - ACTIN-1-RELATED
Migut.11G003700,MgIM767.11G003400,1:1,out,AT2G42070,(1 of 1) K18453 - ADP-ribose/FAD diphosphatase (NUDT23)
Migut.11G003800,MgIM767.11G003500,1:1,out,AT5G06760,(1 of 1) PTHR33493:SF2 - LATE EMBRYOGENESIS ABUNDANT PROTEIN 4-5
Migut.11G003900,MgIM767.11G003600,1:1,out,AT3G12130,"(1 of 1) PF00013//PF00642//PF14608 - KH domain (KH_1) // Zinc finger C-x8-C-x5-C-x3-H type (and similar) (zf-CCCH) // RNA-binding, Nab2-type zinc finger (zf-CCCH_2)"
Migut.11G004000,MgIM767.11G003700,1:1,out,AT2G05990,(1 of 1) K00208 - enoyl- (fabI)
Migut.11G004100,MgIM767.11G003800,1:1,out,AT3G57990,
Migut.11G004200,MgIM767.11G003900,1:1,out,AT3G57980,(1 of 1) PTHR37888:SF18 - DNA-BINDING BROMODOMAIN-CONTAINING PROTEIN
Migut.11G004300,MgIM767.11G004000,1:1,out,AT5G19630,(1 of 1) K07018 - uncharacterized protein (K07018)
Migut.11G004400,MgIM767.11G004100,1:1,out,AT5G13020,(1 of 1) PTHR33432:SF38 - PROTEIN EMSY-LIKE 3
Migut.11G004500,MgIM767.11G004200,1:1,out,AT5G26680,"(1 of 1) K04799 - flap endonuclease-1 (FEN1, RAD2)"
Migut.11G004600,MgIM767.11G004300,1:1,out,AT1G65450,(1 of 1) 2.3.1.188//2.3.1.99 - omega-hydroxypalmitate O-feruloyl transferase. / O-hydroxycinnamoyltransferase. // quinate O-hydroxycinnamoyltransferase. / hydroxycinnamoyl coenzyme A-quinate transferase.
Migut.11G004700,MgIM767.11G004400,1:1,out,AT3G57950,(1 of 27) PF05553 - Cotton fibre expressed protein (DUF761)
Migut.11G004800,MgIM767.11G004500,1:1,out,AT5G06800,(1 of 1) PTHR31314:SF7 - MYB-LIKE HTH TRANSCRIPTIONAL REGULATOR FAMILY PROTEIN
Migut.11G004900,MgIM767.11G004600,1:1,out,AT3G15010,(1 of 1) PTHR48024:SF25 - UBP1-ASSOCIATED PROTEIN 2C
Migut.11G005000,MgIM767.11G004700,1:1,out,AT5G06810,(1 of 1) PTHR13068:SF248 - TRANSCRIPTION TERMINATION FACTOR FAMILY PROTEIN
Migut.11G005100,MgIM767.11G004800,1:1,out,AT3G57930,(1 of 1) PTHR34055:SF15 - RHO GTPASE-ACTIVATING GACO-LIKE PROTEIN
Migut.11G005200,MgIM767.11G004900,1:1,out,AT3G57920,(1 of 1) PTHR31251:SF211 - SQUAMOSA PROMOTER-BINDING-LIKE PROTEIN 15
Migut.11G005300,MgIM767.11G005000,1:1,out,AT3G57890,(1 of 1) K16810 - TBCC domain-containing protein 1 (TBCCD1)
Migut.11G005400,MgIM767.11G005200,1:1,out,AT3G57880,(1 of 2) PTHR31425:SF50 - FT-INTERACTING PROTEIN 3-RELATED
Migut.11G005500,MgIM767.11G005100,1:1,out,AT5G06850,(1 of 1) PTHR31425:SF37 - FT-INTERACTING PROTEIN 1
Migut.11G005600,MgIM767.11G005300,1:1,out,AT5G06839,(1 of 1) PTHR45693:SF13 - TRANSCRIPTION FACTOR TGA10
Migut.11G005700,MgIM767.11G005400,1:1,out,AT5G06860,(1 of 1) PTHR48059:SF37 - POLYGALACTURONASE INHIBITOR 1
Migut.11G005800,MgIM767.11G005500,1:1,out,AT3G12150,(1 of 1) PTHR13617:SF14 - PROTEIN C54G4.7
Migut.11G005900,MgIM767.11G005600,1:1,out,AT2G42260,(1 of 1) PTHR35119:SF1 - PROTEIN GIGAS CELL1-RELATED
Migut.11G006000,MgIM767.11G005700,1:1,out,AT3G12160,(1 of 6) PTHR47979:SF33 - DRAB11
Migut.11G006100,MgIM767.11G005800,1:1,out,AT3G57830,(1 of 2) PTHR48007:SF8 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN
Migut.11G006200,MgIM767.11G005900,1:1,out,AT3G57810,(1 of 1) PTHR13312:SF5 - UBIQUITIN THIOESTERASE OTU
Migut.11G006300,MgIM767.11G006000,1:1,out,AT3G12180,(1 of 1) PTHR12290:SF11 - PROTEIN CORNICHON
Migut.11G006400,MgIM767.11G006100,1:1,out,AT2G42300,(1 of 1) PTHR12565:SF112 - TRANSCRIPTION FACTOR BHLH48-RELATED
Migut.11G006500,MgIM767.11G006200,1:1,out,AT3G13770,(1 of 1) PTHR24015:SF1693 - DYW DOMAIN-CONTAINING PROTEIN
Migut.11G006600,MgIM767.11G006300,1:1,out,AT3G57785,(1 of 61) 1.6.5.3 - NADH:ubiquinone reductase (H(+)-translocating). / ubiquinone reductase.
Migut.11G006700,MgIM767.11G006400,1:1,out,AT1G51200,(1 of 1) PTHR10634:SF163 - ZINC FINGER A20 AND AN1 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 2
Migut.11G006800,MgIM767.11G006500,1:1,out,AT3G20860,(1 of 1) PTHR43671:SF121 - SERINE_THREONINE-PROTEIN KINASE NEK6
Migut.11G006900,MgIM767.11G006600,1:1,out,AT3G13520,(1 of 1) PTHR34114:SF10 - ARABINOGALACTAN PROTEIN 12
Migut.11G007000,MgIM767.11G006700,1:1,out,AT3G18140,(1 of 1) K08266 - G protein beta subunit-like (GBL)
Migut.11G007100,MgIM767.11G006800,1:1,out,AT1G20580,"(1 of 2) K11088 - small nuclear ribonucleoprotein D3 (SNRPD3, SMD3)"
Migut.11G007200,MgIM767.11G006900,1:1,out,AT3G57650,(1 of 2) K13523 - lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase (AGPAT3_4)
Migut.11G007300,MgIM767.11G007000,1:1,out,AT3G57610,(1 of 1) 6.3.4.4 - adenylosuccinate synthase. / succinoadenylic kinosynthetase.
Migut.11G007400,MgIM767.11G007100,1:1,out,AT2G05320,"(1 of 1) 2.4.1.143 - alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase. / alpha1->6-acetylglucosaminyltransferase."
Migut.11G007500,MgIM767.11G007200,1:1,out,AT3G18830,(1 of 1) PTHR23500:SF424 - POLYOL TRANSPORTER 5
Migut.11G007600,MgIM767.11G007300,1:1,out,AT1G78995,
Migut.11G007700,MgIM767.11G007400,1:1,out,AT5G13960,"(1 of 1) PTHR45660:SF95 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH4"
Migut.11G007800,MgIM767.11G007500,1:1,out,AT3G57550,(1 of 3) 2.7.4.8 - guanylate kinase. / guanosine monophosphate kinase.
Migut.11G007900,MgIM767.11G007600,1:1,out,AT3G57530,(1 of 1) PTHR24349:SF456 - CALCIUM-DEPENDENT PROTEIN KINASE 32
Migut.11G008000,MgIM767.11G007700,1:1,out,AT3G57520,(1 of 1) PTHR31268:SF32 - GALACTINOL--SUCROSE GALACTOSYLTRANSFERASE 2-RELATED
Migut.11G008100,MgIM767.11G007800,1:1,out,AT1G59720,(1 of 1) PTHR47928:SF57 - OS07G0191500 PROTEIN
Migut.11G008200,MgIM767.11G007900,1:1,out,AT2G41850,(1 of 1) PTHR31375:SF175 - POLYGALACTURONASE ADPG2
Migut.11G008300,MgIM767.11G008000,1:1,out,AT1G48320,"(1 of 1) PTHR43240:SF5 - 1,4-DIHYDROXY-2-NAPHTHOYL-COA THIOESTERASE 1"
Migut.11G008400,MgIM767.11G008100,1:1,out,AT3G57500,(1 of 1) PTHR33429:SF19 - FISSION REGULATOR-LIKE PROTEIN
Migut.11G008500,MgIM767.11G008200,1:1,out,AT2G41830,(1 of 1) PTHR46087:SF9 - OS02G0780500 PROTEIN
Migut.11G008600,MgIM767.11G008300,1:1,out,AT1G01170,(1 of 1) PTHR34267:SF1 - AT0ZI1 PROTEIN
Migut.11G008700,MgIM767.11G008400,1:1,out,AT2G41820,(1 of 1) PTHR48054:SF83 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN
Migut.11G008800,MgIM767.11G008500,1:1,out,AT2G41810,(1 of 1) PTHR31265:SF22 - DUF642 DOMAIN-CONTAINING PROTEIN
Migut.11G008900,MgIM767.11G008600,1:1,out,AT5G47610,(1 of 2) PTHR46905:SF1 - RING-TYPE E3 UBIQUITIN TRANSFERASE
Migut.11G009000,MgIM767.11G008700,1:1,out,AT1G48020,(1 of 1) PTHR36710:SF26 - PECTINESTERASE INHIBITOR 1
Migut.11G009100,MgIM767.11G008800,1:1,out,AT3G17220,(1 of 1) PTHR36710:SF14 - PECTINESTERASE INHIBITOR 2
Migut.11G009200,MgIM767.11G008900,1:1,out,AT3G57440,
Migut.11G009300,MgIM767.11G009000,1:1,out,AT1G60080,"(1 of 1) K12586 - exosome complex component RRP43 (RRP43, EXOSC8, OIP2)"
Migut.11G009400,MgIM767.11G009100,1:1,out,,
Migut.11G009500,MgIM767.11G009200,1:1,out,AT3G57410,(1 of 1) PTHR11977:SF101 - VILLIN-3
Migut.11G009600,MgIM767.11G009300,1:1,out,AT2G41680,(1 of 1) PTHR48105:SF26 - NADPH-DEPENDENT THIOREDOXIN REDUCTASE 3
Migut.11G009700,MgIM767.11G009400,1:1,out,AT2G41670,(1 of 1) PTHR45782:SF4 - MITOCHONDRIAL RIBOSOME-ASSOCIATED GTPASE 1
Migut.11G009800,MgIM767.11G009500,1:1,out,AT2G41660,(1 of 1) PTHR31696:SF71 - PROTEIN MIZU-KUSSEI 1
Migut.11G009900,MgIM767.11G009600,1:1,out,AT3G10330,(1 of 2) PTHR11618:SF78 - CYCLIN FAMILY PROTEIN-RELATED
Migut.11G010000,MgIM767.11G009700,1:1,out,AT2G15490,(1 of 5) PTHR48047:SF45 - GLYCOSYLTRANSFERASE
Migut.11G010100,MgIM767.11G009800,1:1,out,AT2G31750,(1 of 1) PTHR11926:SF1270 - UDP-GLYCOSYLTRANSFERASE 74D1
Migut.11G010200,MgIM767.11G009900,1:1,out,AT3G11340,(1 of 23) 2.4.1.203//2.4.1.215 - trans-zeatin O-beta-D-glucosyltransferase. / zeatin O-glucosyltransferase. // cis-zeatin O-beta-D-glucosyltransferase. / cis-zeatin O-beta-D-glucosyltransferase.
Migut.11G010300,MgIM767.11G010100,1:1,out,AT3G57360,(1 of 1) K15326 - tRNA-splicing endonuclease subunit Sen54 (TSEN54)
Migut.11G010400,MgIM767.11G010000,1:1,out,AT3G11340,(1 of 23) 2.4.1.203//2.4.1.215 - trans-zeatin O-beta-D-glucosyltransferase. / zeatin O-glucosyltransferase. // cis-zeatin O-beta-D-glucosyltransferase. / cis-zeatin O-beta-D-glucosyltransferase.
Migut.11G010500,MgIM767.11G010200,1:1,out,AT2G41620,(1 of 1) PTHR11225:SF5 - NUCLEAR PORE COMPLEX PROTEIN NUP93A
Migut.11G010600,MgIM767.11G010300,1:1,out,AT3G57300,"(1 of 1) K11665 - DNA helicase INO80 [EC:3.6.4.12] (INO80, INOC1)"
Migut.11G010700,MgIM767.11G010400,1:1,out,AT4G20990,(1 of 2) PTHR18952:SF285 - ALPHA CARBONIC ANHYDRASE 4-RELATED
Migut.11G010800,MgIM767.11G010500,1:1,out,AT3G57290,"(1 of 1) K03250 - translation initiation factor 3 subunit E (EIF3E, INT6)"
Migut.11G010900,MgIM767.11G010600,1:1,out,AT2G41510,(1 of 1) PTHR13878:SF114 - CYTOKININ DEHYDROGENASE 1
Migut.11G011000,MgIM767.11G010700,1:1,out,AT3G57280,"(1 of 1) PTHR12668:SF48 - PROTEIN FATTY ACID EXPORT 1, CHLOROPLASTIC"
Migut.11G011100,MgIM767.11G010800,1:1,out,AT3G57270,"(1 of 1) PTHR32227:SF464 - GLUCAN ENDO-1,3-BETA-GLUCOSIDASE BG1-RELATED"
Migut.11G011200,MgIM767.11G010900,1:1,out,AT3G10210,(1 of 2) PTHR48323:SF1 - OS01G0948300 PROTEIN
Migut.11G011300,MgIM767.11G011000,1:1,out,AT5G04080,(1 of 1) PTHR31568:SF66 - PROTEIN CYSTEINE-RICH TRANSMEMBRANE MODULE 12
Migut.11G011400,MgIM767.11G011100,1:1,out,AT5G04060,(1 of 1) PTHR10108:SF1168 - METHYLTRANSFERASE PMT7-RELATED
Migut.11G011500,MgIM767.11G011150,1:1,out,AT5G04050,(1 of 1) PTHR33642:SF4 - COX1_OXI3 INTRON 1 PROTEIN-RELATED
Migut.11G011600,MgIM767.11G011200,1:1,out,AT3G10190,(1 of 1) PTHR10891:SF1004 - CALCIUM-BINDING PROTEIN CML36-RELATED
